Quantity,Part Number,Description
1,FW1600008CT-ND,16 MHz Crystal
1,296-13094-1-ND,MAX3232
2,ADG707BRUZ-ND,ADG707
1,811-3085-ND,NCS3S1203SC
1,AD8494ARMZ-ND,AD8494
1,AD8495ARMZ-ND,AD8495
1,296-38850-1-ND,ADS1118
1,296-44517-1-ND,LM7805MP
1,865-1260-1-ND,MB85R64 Memory
1,ATMEGA2560-16AU-ND,ATMega 2560
4,CKN10813CT-ND,PTS641
1,x,4x1 Header
1,609-3234-ND,3x2 Header
1,x,16x1 Header
1,609-1509-ND,DB25 Female
1,609-1503-ND,DB25 Male
1,1727-4436-1-ND,TVS
1,754-1438-1-ND,LED (Green)
1,754-1791-1-ND,LED (Red)
4,DB2440100LCT-ND,Schottky Diode
4,PDZVTR4.3BCT-ND,Zener Diode
1,1727-1730-1-ND,Diode
4,497-12132-1-ND,BAT54S
2,296-17685-1-ND,TLVH431
2,IRLML0030TRPBFCT-ND,IRLML0030TRPbF
15,490-8051-1-ND,Capacitor (0805) 0.1uF
5,490-6060-1-ND,Capacitor (0805) 0.01uF
4,1276-1260-1-ND,Capacitor (0805) 3.3nF
3,399-1113-1-ND,Capacitor (0805) 22pF
1,587-1287-1-ND,Capacitor (0805) 0.22uF
3,P1MDACT-ND,Resistor (0805) 1M
4,311-470KCRCT-ND,Resistor (0805) 470k
4,311-220KCRCT-ND,Resistor (0805) 220k
9,311-10.0KCRCT-ND,Resistor (0805) 10k
1,311-9.10KCRCT-ND,Resistor (0805) 9k
1,311-2.00KCRCT-ND,Resistor (0805) 2k
3,311-1.00KCRCT-ND,Resistor (0805) 1k
7,311-300CRCT-ND,Resistor (0805) 300
6,311-100CRCT-ND,Resistor (0805) 100
1,311-27.0CRCT-ND,Resistor (0805) 27
